
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -125.00, 937.50, 156.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 250.00, 875.00, -156.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( 31.25, 906.25, 375.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -312.50, -625.00, 750.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -312.50, -875.00, 750.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( -31.25, 781.25, 406.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 250.00, 875.00, 312.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -125.00, 937.50, 93.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 187.50, 906.25, -62.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( -31.25, 781.25, 406.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -312.50, -875.00, 750.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -281.25, -906.25, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( -31.25, 906.25, 437.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 343.75, 906.25, 281.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -125.00, 906.25, 93.75 )
